municipality_id;name;population;population_year;population_source;is_mock
tula;городской округ Тула;562000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
novomoskovsk;городской округ Новомосковск;126000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
donskoy;городской округ Донской;57500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
aleksin;городской округ Алексин;56500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
slaviy;городской округ Славный (ЗАТО);2900;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
novogurovsky;городской округ Новогуровский;5400;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
efremovsky;Ефремовский муниципальный округ;82000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
shchyokinsky;Щёкинский муниципальный район;100500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
uzlovsky;Узловский муниципальный район;76500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
kireevsky;Киреевский муниципальный район;62500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
bogoroditsky;Богородицкий муниципальный район;46500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
kimovsky;Кимовский муниципальный район;42500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
venevsky;Венёвский муниципальный округ;30500;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
yasnogorsky;Ясногорский муниципальный район;27000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
suvorovsky;Суворовский муниципальный район;33000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
plavsky;Плавский муниципальный округ;14800;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
zaoksky;Заокский муниципальный район;21000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
dubensky;Дубенский муниципальный округ;12800;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
chernsky;Чернский муниципальный район;12600;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
arsenevsky;Арсеньевский муниципальный район;11800;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
volovsky;Воловский муниципальный округ;11900;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
teplo-ogarevsky;Тёпло-Огарёвский муниципальный район;10900;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
odoevsky;Одоевский муниципальный район;10600;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
kurkinsky;Куркинский муниципальный округ;9300;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
belevsky;Белёвский муниципальный район;8100;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
kamensky;Каменский муниципальный район;8000;2025;Росстат, оценка на 01.01.2025 (демо-данные);true
