№ п/п;ГРБС;Наименование ОКС;Этап строительства;Адрес;Координаты;;Отрасль;Статус;Собственность;АМО;Заказчик;Наименование НП/ГП;Наименование ФП;Код проекта;ОБЩАЯ пл., м2;"Мошность
(кол-во мест)";ЭКСПЕРТИЗА(Ы);Год начала;Год окончания;Сроки строительства;Дата передачи земельного участка заказчику;Дата получения разрешения на строительство (реконструкцию);Дата заключения контракта;Сроки контракта;Подрядчик;Строительная готовность;Дата установки технологического оборудования;Дата акта гидравлических испытаний;ЗОС;;АКТ ВВОДА;;Год ввода в эксплуатацию;Фото
;;;;;Широта;Долгота;;;;;;;;;;;;;;;;;;;;;;;дата;номер;дата;номер;;
1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;20;21;22;23;24;25;26;27;30;58;65;66;67;68;69;70;73;74
1;Министерство образования ТО;Строительство детского сада на 160 мест в п. Заокский;Введен в эксплуатацию;Тульская обл., Заокский район, п. Заокский, ул. Северная, д.30;54.730338;37.385349;Образование;Введен в эксплуатацию;Муниципальная;АМО Заокский район;"ГУКС ""ТулоблУКС""";Демография;-;-;0;0;-;2020;2022;2020-2022;28.10.2022;28.10.2022;28.10.2022;15.09.2022-28.10.2022;ООО «Строймеханизация»;100;28.10.2022;28.10.2022;28.10.2022;;28.10.2022;;2022;
2;Министерство образования ТО;Строительство детского сада на 60 мест в г.Алексин;Введен в эксплуатацию;Тульская обл., г. Алексин, ул. Героев Алексинцев, з/у 8Б;54.499135;37.062317;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Алексин;Управление образования АМО город Алексин;-;-;-;0;0;-;2020;2022;2020-2022;01.11.2021;01.11.2021;01.11.2021;21.10.2020-01.11.2021;ООО «ИнтекоСтройСервис»;100;01.11.2021;01.11.2021;01.11.2021;;01.11.2021;;2022;
3;Министерство образования ТО;Cтроительство детского сада на 200 мест в г. Новомосковск;Введен в эксплуатацию;Тульская область, г. Новомосковск, ул.Присягина, д.9-а;54.012184;38.280501;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Новомосковск;МУ «УКС г. Новомосковск»;-;-;-;0;0;-;2020;2022;2020-2022;30.11.2022;30.11.2022;30.11.2022;20.11.2020-31.08.2022;ООО «РК-Сервис»;100;30.11.2022;30.11.2022;30.11.2022;;30.11.2022;;2022;
4;Министерство образования ТО;Детский сад на 200 мест (1-й Юго-Восточный микрорайон);Введен в эксплуатацию;г. Тула,  Центральный р-н,  территория ЖК «1-ый Юго-Восточный микрорайон»;54.181272;37.645066;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;-;-;-;0;200;-;2020;2022;2020-2022;30.11.2022;30.11.2022;30.11.2022;08.08.2022-20.12.2022;АО СЗ «ВНЕШСТРОЙ»;100;30.11.2022;30.11.2022;30.11.2022;;30.11.2022;;2022;
5;Министерство образования ТО;Строительство школы в д. Мыза микрорайон «Северная Мыза», Ленинский район, Тульская область, в т. ч. ПИР;Введен в эксплуатацию;г,Тула, д. Мыза, микрорайон «Северная Мыза»;54.182213;37.475617;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;-;-;-;0;0;-;2021;2022;2021-2022;30.11.2022;30.11.2022;30.11.2022;07.06.2021-30.12.2022;ООО «ЛИГА-М»;100;30.11.2022;30.11.2022;30.11.2022;;30.11.2022;;2022;
6;Министерство сельского хозяйства, природных ресурсов и экологии ТО;Комплексная жилая застройка микрорайона с. Дедилово Дедиловского сельского округа Киреевского района Тульской области (Vэтап). Дом культуры;Введен в эксплуатацию;Тульская область, Киреевский район, с. Дедилово, ул. Луговая, 1а;53.980644;37.937820;Строительство;Введен в эксплуатацию;Муниципальная;АМО Киреевский район;АМО Киреевский район;-;-;-;0;0;-;2021;2022;2021-2022;30.11.2022;30.11.2022;30.11.2022;14.05.2021-30.11.2022;ООО «Альянс»;100;30.11.2022;30.11.2022;30.11.2022;;30.11.2022;;2022;
7;Министерство спорта ТО;Крытый тренировочный манеж с футбольным полем 40х60 метров в г.Туле (Косая гора);Введен в эксплуатацию;г.Тула, Привокзальный район, п.Косая гора, ул.Генерала Горшкова, д.15;54.488002;37.700203;Физическая культура и спорт;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;-;-;-;0;0;-;2022;2022;2022;01.10.2022;01.10.2022;01.10.2022;15.08.2022-01.10.2022;ООО «Строймеханизация»;100;01.10.2022;01.10.2022;01.10.2022;;01.10.2022;;2022;
8;Министерство спорта ТО;Реконструкция велотрека в г.Тула (второй этап);Введен в эксплуатацию;г. Тула, пр. Ленина, д. 87;54.175187;37.601169;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО г. Тула;ГУ ТО «Центр спортивной подготовки сборных команд Тульской области»;-;-;-;0;0;-;2021;2022;2021-2022;01.12.2022;01.12.2022;01.12.2022;13.12.2021-01.12.2022;ООО «Символ»;100;01.12.2022;01.12.2022;01.12.2022;;01.12.2022;;2022;
9;Министерство строительства ТО;«Центр одаренных детей» г. Новомосковск;Введен в эксплуатацию;Тульская обл., г.Новомосковск, ул.Кирова, д.18;54.013686;38.309131;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Новомосковск;"АО ""НАК Азот""";-;-;-;0;0;-;2021;2023;2021-2023;31.12.2022;31.12.2022;31.12.2022;01.01.2021-31.12.2022;ООО «МАРТИНСТРОЙ»;100;31.12.2022;31.12.2022;31.12.2022;;31.12.2022;;2022;
10;Министерство строительства ТО;Строительство коттеджного поселка на 25 домов;Введен в эксплуатацию;г.Тула, п.Михалково;54.173648;37.546246;Строительство;Введен в эксплуатацию;Государственная;АМО г. Тула;Региональный фонд развития жилищного строительства и ипотечного кредитования;-;-;-;0;0;-;2021;2022;2021-2022;31.12.2022;31.12.2022;31.12.2022;29.12.2021 – 31.03.2023;ООО «ТСК  поставка»;100;31.12.2022;31.12.2022;31.12.2022;;31.12.2022;;2022;
11;Министерство строительства ТО;Строительство автоподъезда к ЖК «Петровский квартал» в муниципальном образовании г. Тула;Введен в эксплуатацию;г.Тула, н.п.Петровский;54.203648;37.518469;Строительство;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;-;-;-;0;0;-;2021;2022;2021-2022;30.06.2022;30.06.2022;30.06.2022;15.03.2021- 30.06.2022;ООО «Стройсервис+»;100;30.06.2022;30.06.2022;30.06.2022;;30.06.2022;;2022;
12;Министерство культуры и туризма ТО;Строительство фондохранилища г.Тула;Введен в эксплуатацию;г. Тула, ул. Ф. Энгельса 64;54.177653;37.594991;Культура;Введен в эксплуатацию;Государственная;АМО г. Тула;ГУК ТО «Тульское музейное объединение»;Культура;Сохранение культурного и исторического наследия;-;5 556,00;0;от 27.12.2019 № 71-1-1-3-038991-2019, от 12.11.2021 № 71-1-1-2-066424-2021;2021;2023;2021-2023;31.08.2023;31.08.2023;31.08.2023;03.06.2022-31.08.2023;АО ГК ЕКС;100;31.08.2023;31.08.2023;31.08.2023;;31.08.2023;;2023;
13;Министерство образования ТО;Строительство детского сада на 75 мест по адресу: пр. Ленина, д. 58, г. Тула;Введен в эксплуатацию;г.Тула, пр.Ленина,58;54.182121;37.603832;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;Демография;Содействие занятости женщин;-;0;75;-;2022;2023;2022-2023;01.07.2023;01.07.2023;01.07.2023;15.07.2022-01.07.2023;АО СЗ «ВНЕШСТРОЙ»;100;01.07.2023;01.07.2023;01.07.2023;;01.07.2023;;2023;
14;Министерство образования ТО;Школа ЖК «Балтийский», в т.ч. ПИР» на 1100 мест;Введен в эксплуатацию;г.Тула, ул. 156-го Полка НКВД, д. 4;54.197689;37.527130;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;Образование;Современная школа;-;0;1100;-;2022;2023;2022-2023;15.12.2023;15.12.2023;15.12.2023;27.06.2022-15.12.2023;ООО «СтройЭталонФинанс»;100;15.12.2023;15.12.2023;15.12.2023;;15.12.2023;;2023;
15;Министерство образования ТО;Строительство школы на 100 мест в д. Ямны, в т.ч. ПИР;Введен в эксплуатацию;Тульская область, Ленинский район, с.п.Федоровское, д. Ямны, д.1;54.215490;37.483616;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;Образование;Современная школа;-;0;100;-;2022;2023;2022-2023; 01.12.2023; 01.12.2023; 01.12.2023;22.09.2022- 01.12.2023;АО СЗ «ВНЕШСТРОЙ»;100; 01.12.2023; 01.12.2023; 01.12.2023;; 01.12.2023;;2023;
16;Министерство сельского хозяйства, природных ресурсов и экологии ТО;Физкультурно-оздоровительный комплекс в п. Куркино Тульской области;Введен в эксплуатацию;Тульская область, Куркинский район, п. Куркино, ул. Ленина, д. 35;53.433417;38.661185;Физическая культура и спорт;Введен в эксплуатацию;Муниципальная;АМО Куркинский район;АМО Куркинский район;ГП РФ «Комплексное развитие сельских территорий» ;Современный облик сельских территорий;-;0;0;-;2022;2023;2022-2023;01.10.2023;01.10.2023;01.10.2023;23.09.2022-01.10.2023 ;ООО«Энергопроект»;100;01.10.2023;01.10.2023;01.10.2023;;01.10.2023;;2023;
17;Министерство спорта ТО;Физкультурно-оздоровительный комплекс в г. Ясногорске Ясногорского района;Введен в эксплуатацию;Тульская обл., г.Ясногорск, ул.Л.Толстого, д.13;54.487971;37.700431;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО Ясногорский район;"ГУКС ""ТулоблУКС""";"ГП ТО ""Развитие физкультуры и спорта Тульской области""";-;-;0;0;-;2022;2023;2022-2023;01.05.2023;01.05.2023;01.05.2023;25.05.2022-01.05.2023;ООО «Символ»;100;01.05.2023;01.05.2023;01.05.2023;;01.05.2023;;2023;
18;Министерство спорта ТО;Крытый тренировочный манеж с футбольным полем 40х60 метров;Введен в эксплуатацию;г. Тула, Центральный район, ул. МОПРа;54.183723;37.639110;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО г. Тула;"ГУ ТО ""УСС""";Демография;Спорт - норма жизни;-;0;0;-;2022;2023;2022-2023;10.12.2023;10.12.2023;10.12.2023;02.11.2022-10.12.2023;ООО «Символ»;100;10.12.2023;10.12.2023;10.12.2023;;10.12.2023;;2023;
19;Министерство спорта ТО;Физкультурно-оздоровительный комплекс ;Введен в эксплуатацию;рп. Куркино ул. Ленина, д.35А;53.432934;38.661200;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО Куркинский район;Администрация муниципального образования Куркинский район;-;-;-;0;0;-;2022;2023;2022-2023;10.12.2023;10.12.2023;10.12.2023;02.11.2022-10.12.2023;"ООО ""ЭНЕРГПРОЕКТ""";100;10.12.2023;10.12.2023;10.12.2023;;10.12.2023;;2023;
20;Министерство строительства ТО;Строительство ЦКР г. Венев;Введен в эксплуатацию;Тульская область, Веневский район, г. Венев, мик-район Южный, участок  2В;54.345455;38.252212;Культура;Введен в эксплуатацию;Муниципальная;АМО Веневский район;АМО Веневский район;Культура;Культурная среда;-;0;0;-;2022;2023;2022-2023;31.10.2023;31.10.2023;31.10.2023;25.05.2022-31.10.2023;ООО «СтройЭталонФинанс»;100;31.10.2023;31.10.2023;31.10.2023;;31.10.2023;;2023;
21;Министерство труда и социальной защиты ТО;"Cтроительство корпуса на базе ГУ ТО ""Красивский дом пожилых ""Забота""";Введен в эксплуатацию;Тульская обл. Чернский р-н., МО Липицкое, д. Красивка, ул.Центральная, д.1;53.434819;36.990474;Социальная политика;Введен в эксплуатацию;Государственная;АМО Чернский район;"ГУ ТО ""Красивский дом для пожилых ""Забота""";Демография;Старшее поколение;Р3;19 330,29;244 койко мест;от 29.10.2019 № 71-1-1-3-029918-2019;2020;2024;2020-2024;01.10.2023;01.10.2023;01.10.2023;20.05.2020-01.10.2023;"АО ""ГК ""ЕКС""";100;01.10.2023;01.10.2023;01.10.2023;;01.10.2023;;2024;
22;Министерство цифрового развития и связи ТО;"Флагманский центр ""Мои документы"" г.Тула";Введен в эксплуатацию;г.Тула, ул.Демонстрации, д.26Б;54.192034;37.597316;Связь и информатика;Введен в эксплуатацию;Государственная;АМО г. Тула;"ГУКС ""ТулоблУКС""";-;-;-;0;0;-;2022;2023;2022-2023;10.10.2023;10.10.2023;10.10.2023;27.01.2022-10.10.2023;ООО «СтройЭталонФинанс»;100;10.10.2023;10.10.2023;10.10.2023;;10.10.2023;;2023;
23;АМО г. Тула;Школа на 1 100 мест в ЖК «Юго-Восток»;Введен в эксплуатацию;г. Тула, Центральный р-н, территория ЖК «1-й Юго-Восточный микрорайон»;54.184006;37.644062;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Тула;АМО г. Тула;Образование;Современная школа;Е1;12791;1100;от 12.04.2024 № 71-1-1-2-017312-2024;2023;2024;2023-2024;30.11.2024;30.11.2024;30.11.2024;11.07.2023-30.11.2024;ООО «Стройэталон Финанс»;100;30.11.2024;30.11.2024;30.11.2024;;30.11.2024;;2024;
24;Министерство жилищного хозяйства и благоустройства ТО;Строительство станции водоподготовки п. Красный Богатырь;Введен в эксплуатацию;Тульская область, Новомосковский район, п. Красный Богатырь;54.142941;38.738284;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;Муниципальная;АМО г. Новомосковск;"МУ ""Управление капитальным строительства город Новомосковск""";" ""Жилье и городская среда""";Чистая вода;F5;0;249,6 м3/сут;от 03.11.2021 № 71-1-1-3-064936-2021;2023;2024;2023-2024;01.05.2024;01.05.2024;01.05.2024;28.03.2023-01.05.2024;"ООО ""Спецгеологоразведка""";100;01.05.2024;01.05.2024;01.05.2024;;01.05.2024;;2024;
25;Министерство жилищного хозяйства и благоустройства ТО;Реконструкция водопроводной станции по ул. К. Маркса с установкой станции водоподготовки;Введен в эксплуатацию;Тульская обл., Чернский район, р.п.Чернь, ул. К. Маркса;53.451441;36.907355;Жилищно коммунальное хозяйство;Введен в эксплуатацию;Муниципальная;АМО Чернский район;АМО Чернский район;"""Жилье и городская среда""";Чистая вода;F5;0;1814,4 м3/сут;от 10.12.2021 № 71-1-1-3-076016-2021;2022;2024;2022-2024;31.03.2024;31.03.2024;31.03.2024;05.12.2022-31.03.2024;"ООО ""Промэковод""";100;31.03.2024;31.03.2024;31.03.2024;;31.03.2024;;2024;
26;Министерство культуры и туризма ТО;Выполнение работ по приспособлению объекта культурного наследия регионального значения «Обществен. Здание», XVIII в., расположенного по адресу: Тульская область, город Тула, ул. Советская/пр-т Ленина, д. 62/15, под «Тульский государственный театр кукол» в рамках национального проекта «Культура»;Введен в эксплуатацию;г. Тула, ул. Советская, д.62/15;54.191710;37.616917;Культура;Введен в эксплуатацию;Государственная;АМО г. Тула;ГУК ТО «Тульский государственный театр кукол»;"ГП ТО ""Развитие культуры Тульской области""";-;-;1954;0;от 11.10.2024 № 71-1-1-2-059951-2024;2022;2024;2022-2024;25.11.2024;25.11.2024;25.11.2024;01.08.2023 - 25.11.2024;"ООО ""СУ №3 - Экспертиза""";100;25.11.2024;25.11.2024;25.11.2024;;25.11.2024;;2024;
27;Министерство образования ТО;Школа на 400 мест г. Донской;Введен в эксплуатацию;Тульская обл., г. Донской, МКР Центральный, ул. Западная, д.27;53.968530;38.289153;Образование;Введен в эксплуатацию;Муниципальная;АМО г. Донской;АМО г. Донской;Образование;Современная школа;Е1;13572,8;400;от 21.09.2020 № 71-1-1-3-046348-2020, от 13.10.2020 № 71-1-1-2-050860-2020, от 28.04.2023 № 71-1-1-2-022469-2023;2021;2023;2021-2023;31.12.2023;31.12.2023;31.12.2023;25.03.2021-31.12.2023 ;"ООО ""Тулаоборонстрой";100;31.12.2023;31.12.2023;31.12.2023;;31.12.2023;;2024;
28;Министерство спорта ТО;Физкультурно-оздоровительный комплекс с универсальным игровым залом и плавательным бассейном в г. Туле;Введен в эксплуатацию;г. Тула, пос. Скуратовский, пос. 2-й Западный, ул. Маяковского, д. 49;54.103757;37.577437;Физическая культура и спорт;Введен в эксплуатацию;Государственная;АМО г. Тула;"ГУ ТО ""УСС""";НП Демография;Спорт - норма жизни;P5;3661,53;119;от 23.11.2023 № № 71-1-1-2-070894-2023;2023;2024;2023-2024;10.12.2024;10.12.2024;10.12.2024;07.04.2023 - 10.12.2024;"ООО ""СИМВОЛ""";100;10.12.2024;10.12.2024;10.12.2024;;10.12.2024;;2024;
